Código,Descripción,Descripción 2
ARS,ADAPTADOR O CONECTOR DESDE,RIEGO MOVIL A PEGABLE O ROSCA
ART,ADAPTADOR O CONECTOR DESDE,COMPRESION A ROSCABLE
ASA,ASADORES O PARRILLAS," "
ASG,ASPERSOR POR GOLPE O IMPULSO," "
ASN,ASPERSOR NEBULIZADOR," "
ASP,ASPERSOR PARA MANGUERA DE,JARDIN
ASR,ASPERSOR ROTATIVO," "
AST,ASIENTO RODANTE PARA TALLER,AUTOMOTRIZ
ASV,ACTUADOR (SMART) VALVULA DE,PALANCA O VALVULA ESFERICA
ATB,AGARRADERA PARA MUEBLES Y,PUERTAS DE ARMARIOS
ATC,AISLAMIENTO TERMICO PARA TUBO,O MANGUERA
ATM,ADAPTADOR PARA ROTOMARTILLO," "
ATS,TRANSFERENCIA AUTOMATICA PARA,PANEL ELECTRICO
AUA,AUDIFONO CON JACK 3.5mm," "
AUB,AUDIFONO INALAMBRICO," "
AUC,AUDIFONO PROTECTOR O PROTECTOR,DE OIDOS
AUD,AUTOMATICO DE BOMBA O,INTERRUPTOR DE PRESION
AXA,ACEITE PARA MOTOR," "
AXB,ACEITE PARA TRANSMISION," "
AZA,AZADON," "
AZC,AZUCARERA," "
AZL,AZUELA," "
AZU,AZUCAR," "
B&F,KIT O JUEGO DE BOMBA PARA,PISCINA Y FILTRO
BAC,BANDEJA PARA DESINFECCION DE,CALZADO
BAD,BANDEJA PARA RACK O GABINETE,DE REDES O TELECOMUNICACIONES
BAE,BASURERO EMPOTRADO," "
BAI,BAILEJO," "
BAL,BALDE PLASTICO," "
BAN,BANDEJA PARA HORNEAR Y SERVIR," "
BAR,BARRETA O PATA DE CABRA," "
BAS,BASURERO DE PISO O MESON," "
BAT,BATIDOR MANUAL," "
BBA,BOTONERA ELECTRICA PARA PANEL," "
BBB,BOTONERA ELECTRICA SOBREPUESTA," "
BCN,TUBO BAJANTE PARA CANAL DE,AGUA LLUVIA
BCP,BRAZO HIDRAULICO O CIERRA,PUERTAS
BDC,BOTAS DE CAUCHO," "
BDE,BRAZO PARA DUCHA," "
BDF,BALON O PELOTA DE FUTBOL," "
BDR,BUJE DE REDUCCION," "
BDU,BOTAS DE CUERO," "
BEN,BENJAMIN CON BOQUILLA ROSCABLE," "
BIA,BISAGRA TIPO LIBRO," "
BIB,BISAGRA TIPO PIANO," "
BIC,BISAGRA DESMONTABLE," "
BID,BISAGRA DE PERNIO," "
BIE,BISAGRAS DE DOBLE ACCION," "
BIF,BISAGRA OCULTA," "
BIG,BISAGRA DE CAZOLETA PARA,MUEBLES
BIH,BISAGRA PARA VIDRIO," "
BII,BISAGRA O CHAPETA TIPO,TOALLERO
BIJ,BISAGRA DE PRESION PARA PUERTA,DE MUEBLES Y ANAQUELES
BIK,BISAGRA DE VAIVEN," "
BIN,BINOCULARES," "
BIT,BISAGRA TORNEADA," "
BKA,BREAKER ENCHUFABLE O ENGRAMPE,PARA CAJA EMPOTRADA (PLUG-IN)
BKB,BREAKER PARA RIEL DIN,(MODULAR)
BKC,BREAKER DE CAJA MOLDEADA,(MCCB)
BKD,BREAKER SOBREPUESTO ATORNILLO,(BOLT-ON O SURFACE MOUNT)
BMH,BASE PARA MANHOLE," "
