Código,Descripción,Descripción 2
CTR,CLIP PUESTA A TIERRA PARA,PANELES SOLARES
CTT,CINTA ESTRIADA O TOMATERA," "
CUA,CUADERNO," "
CUB,REPUESTO CUCHILLA CEPILLO,BAILEY DE CARPINTERO
CUC,REPUESTO CUCHILLA DE ESTILETE," "
CUD,REPUESTO CUCHILLA ESPAUCE," "
CUE,REPUESTO CUCHILLA HUBBY," "
CUF,CUBRE AGUJERO PARA CAJA EMT," "
CUL,REPUESTO CUCHILLA LINOLEO," "
CUP,CUPON DE PAPEL IMPRESO," "
CUR,CUCHARA," "
CVA,CONTROL DE VOLUMEN DE AIRE,PARA TANQUES HIDRONEUMATICOS
CVM,CONECTOR ADAPTADOR DE VOLTAJE,TERMINAL A PLUG MACHO
CVN,CAMARA O VISOR NOCTURNO," "
CXI,CAMPANA EXTRACTORA PARA ISLA," "
CXM,CAMPANA EXTRACTORA DE MESON," "
CXP,CAMPANA EXTRACTORA DE PARED," "
CXX,CARPETA CON PROTECTORES,PLASTICOS
CZA,CRUZ POLIPROPILENO PRESION," "
CZB,CRUZ PVC PRESION," "
CZC,CERRADURA PARA CAJON O PUERTA,DE ARMARIO O MUEBLE
CZD,CRUZ PVC DESAGUE," "
CZE,CRUZ IMC CON INSPECCION," "
CZF,CRUZ DE COBRE PRESION," "
CZT,CRUZ TERMOFUSION PRESION," "
CZX,CERRADURA PARA PUERTA,PRINCIPAL
CZZ,CINTA DE ALUMINIO PARA DUCTOS,O DUCTAPE
DAD,DADO DE EXTENSION RACHET," "
DAF,DADO PARA RATCHET," "
DAG,DADO NUDO ARTICULADO RACHET," "
DAH,DADO ADAPTADOR REDUCTOR RACHET," "
DAJ,JUEGO DE DADOS PARA RATCHET," "
DCD,DISCO COPA DIAMANTADA PARA,DESBASTE Y PULIDO
DCP,DISCO COPA DE PIEDRA PARA,DESBASTE Y PULIDO
DDA,DISCO DIAMANTADO PARA AFILAR,SIERRAS Y FRESAS
DDB,DADO O LLAVE DE BUJIA," "
DDC,DELANTAL O MANDIL PARA USO,PROFESIONAL
DDF,DISCO DIAMANTADO FLEXIBLE PARA,DESBASTE Y PULIDO
DDG,DETECTOR Y ALARMA DE GAS," "
DDH,DETECTOR O SENSOR DE HUMO Y,FUEGO
DDM,DISPENSADOR DE MIEL PARA MESA," "
DDT,DOBLADORA DE TUBOS," "
DDV,DETECTOR DE VIGAS O STUDS," "
DEA,TALADRO O DESTORNILLADOR DE,IMPACTO ELECTRICO
DEB,TALADRO O DESTORNILLADOR DE,IMPACTO INALAMBRICO
DEC,DESTORNILLADOR PUNTA CUADRADA," "
DEE,DESTORNILLADOR ELECTRICO," "
DEF,DESAGUE O VALVULA DE FREGADERO," "
DEI,DESTORNILLADOR INALAMBRICO," "
DEL,DUCHA ELECTRICA," "
DEP,DESTORNILLADOR PLANO," "
DES,DESTORNILLADOR ESTRELLA," "
DET,DESTORNILLADOR PARA TUERCA," "
DFC,DISCO DE CERAMICA O DISCO,FIBRA CERAMICA
DID,DISCO DE DESBASTE PARA METAL," "
DIF,DISCO DE CORTE PARA METAL," "
DIM,DISCO DE CORTE DENTADO PARA,MADERA Y ALUMINIO
DIP,DISCO ALMOHADILLA PARA PULIR," "
DIR,DISCO DE RESPALDO O SOPORTE,DE CAUCHO O NYLON
DIS,DISCO DE CORTE DIAMANTADO," "
DIX,DISCO DE CORTE PARA PIEDRAS Y,NO FERROSOS
DIY,DISCO PARA REMOCION DE PINTURA,Y ALISADO
DIZ,DISCO DE DESBASTE PARA PIEDRAS,Y NO FERROSOS
DJL,DISPENSADOR DE JABON LIQUIDO," "
DLR,DETERGENTE LIQUIDO PARA LAVAR,ROPA
DPH,DADO PUNTA HEXAGONAL," "
DPJ,DADO PARA TARRAJA," "
DPR,DTERGENTE EN POLOVO PARA LAVAR,ROPA
DPT,DADO PUNTA TORX," "
DRC,TRANSFORMADOR AC/DC PARA,CERRADURAS
DRD,DRIVER MODULADOR DE CORRIENTE,PARA DIMMERIZAR
DRO,DISPENSADOR DE AGUA DE PISO," "
DRT,DRIVER O TRANSFORMADOR PARA,TUBOS FLUORECENTES
DRV,DRIVER O TRANSFORMADOR AC/DC,PARA CINTAS LED
DSF,DESINFECTANTE Y SANITIZANTE,PARA LIMPIEZA DE SUPERFICIES
DSN,DESENGRASANTE EN CREMA O,LIQUIDO PARA MANOS Y CUERPO
DSO,DESOLDADOR O ABSORVEDOR DE,SUELDAS
DTC,ACCESORIOS DEWALT TOOL CONNECT," "
DTL,DATA LOGGER INALAMBRICO," "
DTP,DISPENSADOR PARA TOALLAS DE,PAPEL
DUA,DUCHA DE MANO O DUCHA TELEFONO," "
DUB,CABEZA DE DUCHA PARA MANGUERA," "
DUC,CABEZA DE DUCHA PARA BRAZO," "
DVR,DVR PARA SISTEMAS DE VIDEO,VIGILANCIA
DYO,DESBROZADORA Y ORILLADORA," "
ECJ,ESCALERA TIPO TIJERA," "
ECL,ABRAZADERA GRAPA FINAL END,CLAMP PARA PANEL SOLAR
ECM,ESCALERA MULTIPLE O,MULTIPOSICION
ECP,ESCALERA PLEGABLE O ACORDEON," "
ECT,ESCALERA TELESCOPICA," "
EDC,EMPAQUE DE CAUCHO PARA SELLO,HIDRAULICO
EDD,EMPAQUE DE PAPEL PARA SELLO,HIDRAULICO
EDH,EXTRACTOR DE HUMO PORTATIL," "
EDP,ESCURRIDOR DE PLATOS," "
EDR,EXTRACTOR DE RODAMIENTOS O,RULIMANES
EJE,EJES METALICOS," "
EMP,EMPASTE O PRIMER PARA PINTURA,EN POLVO O LISTO
EMS,ESCUADRAS MAGNETICAS PARA,SOLDAR
ENC,ENCENDEDOR CON GAS," "
ENI,ENGRASADORA INALAMBRICA," "
ENM,ENGRASADORA MANUAL O ACEITERO," "
ENP,"ENVASE, BOTELLA, O TARRO",DE PLASTICO Y ACCESORIOS
ENS,ENSUNCHADORA," "
ENV,"ENVASE, BOTELLA, O TARRO",DE VIDRIO Y ACCESORIOS
EPA,ESTACA PARA ASPERSOR," "
EPC,ESPIRAL PARA ORGANIZAR Y,PROTEGER CABLES ELECTRICOS
EPF,ESCURRIDOR DE PLATOS PARA,DENTRO DE LA CUBA
EPI,ESTACION PARA ACTIVAR ALARMA,CONTRA INCENDIO
EPL,ENCAUCHADO PARA LLUVIA," "
EPS,ESCURRIDOR DE PLATOS PARA,MESON
EPU,ESPUMA SELLADORA EXPANSIVA,POLIURETANO (PU)
ERA,EQUIPO DE RESPIRACION AUTONOMA," "
ERC,ESLINGA TIPO CINTA CON RATCHET," "
ESA,ESMERILADORA AMOLADORA,INALAMBRICA
ESC,ESMERILADORA DE BANCO," "
ESD,ESCUADRA METALICA," "
ESL,ESTILETE," "
ESM,ESMERILADORA AMOLADORA," "
ESP,ESPADAS O ESPETOS," "
EST,ESPATULA PARA CONSTRUCCION," "
ESU,ESPAUCE," "
ESX,ESPUMA EXPANSIVA PARA SELLADO,GENERAL
ESY,ESPATULA PARA COCINA," "
ESZ,ESPATULA PARA PASTELERIA," "
ETC,ENCHUFE O TOMA TIPO CLAVIJA," "
ETD,"ENCHUFE, TOMA O ADAPTADOR DE",DERIVACION
EXC,EXCAVADORA SEMILLERA," "
EXE,EXTENSION ELECTRICA," "
EXH,EXHIBIDOR O MUESTRARIO PARA,PRODUCTOS
EXL,EXTENSION ELECTRICA CON PORTA,LAMPARA
EXP,EXTRACTOR PARA BAÑO DE PARED," "
EXR,EXTENSION ELECTRICA TIPO REEL,O CARRETE
EXT,EXTRACTOR PARA BAÑO DE TUMBADO," "
EXV,EXCAVADORA MANUAL TIPO TIJERA," "
EYA,ESPEJO SIMPLE," "
EYB,ESPEJO CON LUZ INTEGRADA," "
EYC,ESPEJO SMART," "
F10,FREGADERO CON 1 POZO Y SIN,ESCURRIDERO
F11,FREGADERO CON 1 POZO Y 1,ESCURRIDERO
F20,FREGADERO DOS POZOS SIN,ESCURRIDERO
F21,FREGADERO CON 2 POZOS Y 1,ESCURRIDERO
FAB,FIBRA ABRASIVA PARA PULIR Y,LIMPIAR
FAE,FOCO AHORRADOR ESPIRAL," "
FAG,FOCO AHORRADOR TIPO GLOBO," "
FAP,FILTRO REEMPLAZO ALGODON O PP," "
FAU,FOCO AHORRADOR TIPO U," "
FAX,FOCO LED CON BATERIA DE,EMERGENCIA
FBX,FOCUS BOX PARA VENDEDOR," "
FCA,FILTRO REEMPLAZO CARBON,ACTIVADO (AC)
FCF,FILTRO REEMPLAZO COMPUESTO CF,CBPA
FCL,FOTOCELULA O CONTROL FOTO,ELECTRICO SIN SOPORTE
FDA,FILTRO DE AIRE PARA VEHICULO," "
FDB,FUNDA O BOLSA DE BASURA,PLASTICA
FDC,FILTRO DE COMBUSTIBLE PARA,VEHICULO
FDH,FOCO DICROICO HALOGENO," "
FDL,FOCO DICROICO LED (GU5.4/GU10/,PAR16)
FDO,FILTRO DE ACEITE PARA VEHICULO," "
FDP,FUENTE DE PODER CON TOMA Y,TRANSFORMADOR
FLD,DISCO DE ZIRCONIO O FLAP DISC," "
FLE,FLEXOMETRO," "
FLF,FLEXOMETRO MEDIDOR LASER," "
FLO,INTERRUPTOR O AUTOMATICO DE,BOMBA TIPO FLOTADOR
FMH,FOCO METAL HALIDE," "
FOA,FOCO LED DE ALTA POTENCIA TIPO,BOMBILLO
FOB,TARJETA MAGNETICA O FOB PARA,CONTROL DE ACCESO
FOH,FOCO HALOGENO O INCANDECENTE," "
FOI,FOCO ANTI INSECTO," "
FOL,FOCO LED TIPO BOMBILLO O GLOBO,(SERIE A Y G)
FOP,FOCO LED PAR30," "
FOR,FORMON," "
FOS,FOCO LED SMART," "
FOT,FOCO TUBULAR," "
FOV,FOCO LED CON FILAMENTOS O,VINTAGE
FOX,FOCO LED TIPO PLAFON,(SERIES R Y BR)
FPA,FILTRO PARA ASPIRADORA," "
FPC,FERULA PARA CONDUIT," "
FPP,FUNDENTES EN PASTA PARA,SOLDADURA
FPR,FOCO PARA REFRIGERADOR," "
FPS,FILTRO PARA BOMBA DE PISCINA," "
FRO,FILTRO REEMPLAZO MEMBRANA DE,OSMOSIS INVERSA (RO)
FTD,FILTRO DE DISCO PARA RIEGO Y,SISTEMAS DE AGUA
FTL,FUTBOLIN," "
FTM,FILTRO DE MALLA PARA RIEGO Y,SISTEMAS DE AGUA
FTS,FILTRO DE MALLA SMART," "
FTV,FOCO LED TIPO VELA," "
FUB,FUMIGADORA TIPO BOTELLA," "
FUF,FILTRO REEMPLAZO COMPUESTO UF,ULTRAFILTRACION
FUM,FUMIGADORA TIPO MOCHILA," "
FUS,FUSIBLE DE VIDRIO," "
GAP,GUARDA ANTIPOLVO PARA USAR CON,ASPIRADORA EN HERRAMIENTAS
GBM,GABINETE O PANEL METALICO PARA,CONEXIONES ELECTRICAS
GDP,GAFAS DE PROTECCION," "
GEN,GENERADOR DE ELECTRICIDAD A,COMBUSTION O GASOLINA
GES,SISTEMA SOLAR PARA GENERACION,DE ENERGIA
GLA,PARRILLA O GRILL PARA CARBON," "
GLB,PARRILLA O GRILL A GAS," "
GLI,GRASA DE LITIO," "
GLO,GUILLOTINA PARA CORTAR PAPEL," "
GLR,GRILLETE TIPO LIRA," "
GMA,GUARDA MOTOR O ARRANCADOR DE,MOTOR MANUAL
GON,GONDOLA DE PISO PARA DISPLAY O,EXHIBICION
GOR,GORRAS Y SOMBREROS," "
GOV,GOVERNOR O REGULADOR DE,VELOCIDAD PARA MOTOR
GPC,GRILLETE PARA CABLE DE ACERO," "
GPH,GABINETE METALICO PARA,HERRAMIENTAS
GPM,GANCHO PARA PARED," "
GPO,GUANTE O AGARRADERA PARA OLLAS,Y MOLDES CALIENTES
GPP,GANCHOS PARA PANEL RANURADO," "
GPR,GANCHO PARA ROPA," "
GPS,SISTEMAS DE LOCALIZACION GPS,PARA VEHICULOS Y MASCOTAS
GPV,GPS PARA VEHICULOS," "
GRA,GRAPA ABRAZADERA PARA TUBO CON,OREJA
GRB,GRAPA ABRAZADERA PARA TUBO CON,DOBLE OREJA
GRC,GRAPA PARA CABLE CON UNA OREJA,PARA PARED METALICO
GRD,GRAPADORA," "
GRE,GRAPA PLASTICA CON CLAVO PARA,CABLES
GRF,GRAPADORA PARA CERRAR CARTONES," "
GRG,GRAPA PARA TUBO DOBLE CON,TORNILLO CENTRAL
GRJ,GUIA PARA BROCA ANULAR," "
GRL,GRAPA PARA ALAMBRE DE PUAS," "
GRP,GRAPA PARA USO EN GRAPADORA," "
GSC,GUIA PARA CORTE DE SIERRA,CIRCULAR
GSI,GABINETE PARA SISTEMA CONTRA,INCENDIOS
GTB,GATA TIPO BOTELLA," "
GTL,GATA TIPO LAGARTO," "
GTR,GOTERO PARA RIEGO," "
GUC,GUANTE DE CUERO," "
GUI,GUIRNALDA PARA FOCOS," "
GUL,GUANTE DE CAUCHO PARA LIMPIEZA," "
GUN,GUANTE DE NITRILO O,POLIURETANO
GUT,GUANTE DE TELA O MICROFIBRA," "
GUX,GUANTE DE LATEX," "
HAC,HACHUELA," "
HAE,HORNO A ELECTRICIDAD," "
HAG,HORNO A GAS," "
HCH,HACHA," "
HDA,HIDRANTE DE COLUMNA HUMEDA DE,UNA SALIDA
HDB,HIDRANTE DE COLUMNA HUMEDA DE,DOS SALIDAS
HDC,HIDRANTE DE COLUMNA HUMEDA DE,TRES SALIDAS
HDD,DISCO DURO SOLIDO," "
HEB,VIGAS H TIPO HEB," "
HID,HIDROLAVADORA," "
HIE,HIELERA," "
HJB,HOJAS PARA SIERRA RECIPROCA O,SABLE
HJS,HOJAS PARA SIERRA CALADORA," "
HJX,HOJAS PARA SIERRA MANUALES," "
HOZ,HOZ," "
HPI,HERRAJE COMPLETO PARA INODORO," "
HUM,HUMIDIFICADOR," "
IDA,PIE DE AMIGO O ANGULO PARA,SOPORTE DE ESTANTERIAS
IDB,MENSULA O SOPORTE ANGULO,PARA INSTALACION DE CANALES
IDF,IDF," "
ILA,FOCO LED MR16," "
IMA,IMPERMEABILIZANTE ACRILICO,LIQUIDO
IMB,IMPERMEABILIZANTE ACRILICO,LIQUIDO CON FIBRAS SINTETICAS
IMC,IMPERMEABILIZANTE ACRILICO,LIQUIDO POLIURETANO Y FIBRAS
IMD,IMPERMEABILIZANTE ASFALTICO EN,LAMINA APLICADO AL FRIO
IME,IMPERMEABILIZANTE ASFALTICO EN,LAMINA APLICADO AL CALOR
IMF,IMPERMEABILIZANTE ASFALTICO,LIQUIDO CON RESINA ACRILICA
IMG,IMPERMEABILIZANTE IMPRIMANTE,PARA TANQUES DE AGUA Y PISCINA
IMH,IMPERMEABILIZANTE LIQUIDO PARA,MEZCLAR EN HORMIGON ESTRUCTURA
IMI,REFUERZO DE FIBRA PARA,IMPERMEABILIZANTE LIQUIDO
IMJ,IMPERMEABILIZANTE ASFALTICO,LIQUIDO PARA PAREDES
IMK,IMPERMEABILIZANTE TIPO MORTERO,PARA TANQUES DE AGUA Y PISCINA
IML,IMPULSOR O IMPELLER DE BOMBA," "
IMM,IMPRESORA MULTIFUNCION ALL IN,ONE
IMN,IMPERMEABILIZANTE LIQUIDO PARA,MEZCLAR CON MORTEROS
IMO,IMPRESORA DE ETIQUETAS," "
IMP,IMPRESORA PORTATIL," "
IMQ,IMPRESORA LASER DE ESCRITORIO," "
IMR,IMPRESORA DE RECIBOS," "
IMT,IMPRESORA DE TINTA CONTINUA O,CARTUCHO
IN1,INODORO O SANITARIO ONE PIECE," "
IN2,INODORO O SANITARIO DOS PIEZAS," "
IN3,INODORO O SANITARIO SUSPENDIDO," "
IN4,INODORO O SANITARIO SMART," "
IN5,INODORO O SANITARIO,INSTITUCIONAL
IPE,VIGAS I TIPO IPE," "
IPN,VIGAS I TIPO IPN," "
IRE,EMISOR O CONTROLADOR INFRAROJO,SMART
IVA,INVERSOR PARA PANEL SOLAR," "
JAB,JABONERA," "
JAC,JUEGO DE ACCESORIOS PARA BAÑO," "
JAN,"JUEGO DE ACCESORIOS, ACOPLES Y",CONEXIONES PARA COMPRESOR
JBC,JUEGO DE BATERIA Y CARGADOR," "
JBE,JUEGO DE BROCA EXTRACTORA DE,TORNILLOS Y PERNOS
JCI,JUEGO DE CINCELES PARA,CONCRETO
JCO,JUEGO PARA COCINAR," "
JDA,JUEGO DE TAZONES O BOWLS PARA,HORNEAR Y SERVIR
JDB,JUEGOS DE LOZA Y GRIFERIA PARA,BAÑO
JDC,JUEGO DE CUBIERTOS," "
JDF,JUEGO DE FRESAS O PUNTAS PARA,TUPI O REBAJADOR
JDH,JUEGO DE CUCHARAS," "
JDL,JUEGO DE CUCHILLOS," "
JDO,JUEGO DE PUNTAS PARA OSCILADOR," "
JDR,"JUEGO DE RATCHET CON DADOS,",HERRAMIENTAS MANUALES
JDS,JUEGO DE DESTORNILLADORES," "
JDT,JUEGO DE TENEDORES," "
JFC,FOTOCELULA O CONTROL FOTO,ELECTRICO CON SOPORTE
JHE,JUEGO DE HERRAMIENTAS,ELECTRICAS
JHI,JUEGO DE HERRAMIENTAS,INALAMBRICAS
JHJ,JUEGO DE HERRAMIENTAS PARA,JARDIN
JHM,JUEGO DE HERRAMIENTAS MANUALES," "
JJA,"JUEGO O KIT DE PITON, ACOPLES",PARA O CON MANGUERA DE JARDIN
JJB,JUEGO O KIT DE MANGUERA DE,JARDIN Y ACCESORIOS
JLA,JUEGO DE LLAVES ALLEN O,LLAVES HEXAGONALES
JLB,JUEGO DE LLAVES BOCA BOCA," "
JLC,"JUEGOS DE LAVABO, ACCESORIOS Y",COMPLEMENTOS
JLD,JUEGOS DE LLAVES CORONA CORONA," "
JLI,JUEGO DE LIMAS," "
JLM,JUEGO DE LLAVES BOCA CORONA," "
JLU,JUEGO DE LLAVES UNIVERSAL," "
JMB,JUEGO DE DUCHA CON BARRAL," "
JMD,JUEGO DE DUCHA - MEZCLADORA,MONOCOMANDO DE PARED Y DUCHA
JML,LLAVE MEZCLADORA MONOCOMANDO,PARA LAVABO CON ACCESORIOS
JOL,JUEGO DE OLLAS Y SARTENES," "
JPA,JUEGO PARA ASADO," "
JPB,JUEGO DE PUNTAS Y BROCAS PARA,DESTORNILLADOR
JPD,JUEGO DE PUNTAS PARA,DESTORNILLADOR
JPM,JUEGO DE PUNTAS MONTADAS PARA,TALADRO
JRP,JUEGO DE RODILLO CON BANDEJA,PARA PINTAR
JSC,JUEGO DE SIERRA COPA," "
JTI,JUEGO DE TIJERAS," "
JVA,JARDIN ARTIFICIAL PARA,PARED
JVB,CESPED ARTIFICIAL O CESPED,SINTETICO
JVC,PISO FLOTANTE IMITACION,DE MADERA
JVD,PISO FLOTANTE PLASTICO TIPO,INDUSTRIAL
JVE,ALFOMBRA O MUSGO PARA ENTRADA," "
JVF,ALFOMBRA ANTIFATIGA," "
JVN,ALFOMBRA NAVIDEÑA," "
JVP,PLANTAS ARTIFIALES," "
KIO,KIOSKO CON PANTALLA PARA,AUTOSERVICIO
KPR,KIT DE PRUEBA DE CALIDAD DE,CALIDAD DE AGUA PARA PISCINA
KRE,KIT DE REGALO EJECUTIVO," "
KRF,KIT DE FILTROS DE REEMPLAZO,PARA PURIFICADOR DE AGUA
KRP,KIT DE PIEZAS PARA REPARACION,DE BOMBAS DE AGUA
KVP,KIT DE VIDEO PORTERO," "
KVT,GAVETA O KAVETA PLASTICA," "
LA1,LAVABO O LAVAMANOS EMPOTRADO," "
LA2,LAVABO O LAVAMANOS SOBREPUESTO,O VESSEL
LA3,LAVABO O LAVAMANOS CON MUEBLE,Y MESON
LA4,LAVABO O LAVAMANO SUSPENDIDO O,PARA PEDESTAL
LAB,ABRE BOTELLAS CON LINTERNA," "
LAP,LAPTOP O COMPUTADOR PORTATIL," "
LBB,LLAVE BOCA BOCA," "
LBC,LLAVE BOCA CORONA," "
LBD,LLAVE DE BANDA," "
LCC,LLAVE CORONA CORONA," "
LCT,LAPIZ DE CARPINTERO," "
LDA,LINTERNA TIPO BOLIGRAFO," "
LDC,LINTERNA O LAMPARA PARA FRENTE," "
LDF,LINTERNA TIPO FAROL," "
LDI,LLAVE DE IMPACTO INALAMBRICA," "
LDL,LLAVE DE RUEDA EN L," "
LDM,LINTERNA DE MANO," "
LDP,LLAVE DE IMPACTO PNEUMATICA," "
LDR,LLAVE DE RUEDA CRUZ," "
LDT,LINTERNA O LAMPARA DE TRABAJO," "
LEM,LAMPARA DE EMERGENCIA LED," "
LET,LETRERO DE SEÑALETICA," "
LFA,LLAVE FRANCESA O AJUSTABLE," "
LFB,LLAVE PARA FILTRO DE ACEITE," "
LGU,"LUZ GUIA LED DE PISO, PASILLO",O ESCALERA
LIB,LIJADORA DE BANDA," "
LIC,LICUADORA," "
LID,LIANA DENTADA," "
LIE,LLAVE DE IMPACTO ELECTRICA," "
LIL,LIJADORA ORBITAL O DE PALMA,CON BASE CUADRADA
LIM,LIMPIADOR QUIMICO PARA PVC PRE,PEGA O SOLDADO
LIO,LIJADORA ROTO ORBITAL,CON BASE REDONDA
LIP,LIANA PLANA," "
LJA,LIJA PARA HIERRO EN PLIEGO," "
LJB,LIJA DE AGUA EN PLIEGO," "
LJC,LIJA EN SECO EN PLIEGO," "
LJD,LIJA DE DISCO PARA LIJADORA,ORBITAL
LJE,LIJA PARA MADERA EN PLIEGO," "
LJF,LIJA PARA MADERA EN ROLLO," "
LJG,LIJA DE BANDA PARA LIJADORA,DE BANDA
LLA,LLAVE ANGULAR," "
LLD,LLAVE O GRIFO DE DUCHA," "
LLE,LLAVE O GRIFO PARA MESON,ELECTRONICA
LLF,LLAVE O GRIFO PARA FILTRO O,SISTEMA PURIFICADOR DE AGUA
LLJ,LLAVE DE PICO O GRIFO PARA,MANGUERA DE JARDIN
LLM,LLAVE PARA MANDRIL," "
LLP,LLAVE O GRIFO PARA PARED," "
LLS,LLAVE O GRIFO PARA MESON TIPO,PRESSMATIC
LLT,LLAVE DE TUBO," "
LLV,LLAVERO," "
LLX,LLAVE DE PASO," "
LLY,LLAVE SPANNER PARA AJUSTAR,MANGUERAS CONTRA INCENDIOS
LLZ,LLAVE O GRIFO PARA MESON,RESIDENCIAL
LMC,LIMA MEDIA CAÑA O SEMICIRCULAR," "
LMP,LIMA PLANA," "
LMR,LIMA REDONDA," "
LMT,LIMA TRIANGULAR," "
LOI,LIJADORA ROTO ORBITAL,INALAMBRICA (BASE REDONDA)
LOJ,LIJADORA ORBITAL INALAMBRICA,(BASE CUADRADA)
LPA,LLANTA O RUEDA RADIAL SIN TUBO,PARA VEHICULOS
LPB,LLANTA O RUEDA TUBULAR PARA,VEHICULOS
LPC,LLANTA O RUEDA PARA CARRETILLA," "
LPF,LIQUIDO PARA FRENOS," "
LPR,LUBRICANTE MAQUINA ROSCADORA," "
LQH,ADHESIVO FIJADOR MONTAJE CLAVO,LIQUIDO BASE HIBRIDA Y PU
LQN,ADHESIVO FIJADOR MONTAJE CLAVO,LIQUIDO BASE SOLVENTE (ACUOSO)
LRE,LIJADORA ROTO ORBITAL CON,MANGO EXTENSIBLE
LUB,LUBRICANTE EN SPRAY," "
LWA,LAMPARA DECORATIVA LED PARA,INTERIORES
LWB,LAMPARA DECORATIVA LED PARA,EXTERIORES
LWC,LAMPARA DECORATIVA PARA FOCOS,CAMBIABLES
LWD,LAMPARA O LUMINARIA DE ESTACA,PARA JARDIN
LWE,LAMPARA DE ESCRITORIO," "
LWF,LAMPARA DECORATIVA COLGANTE," "
LWS,LAMPARA DECORATIVA LED SMART," "
LWX,LAMPARA DECORATIVA COLGANTE,SMART
LZA,LUZ PILOTO DE PANEL ELECTRICO," "
MAA,MANOMETRO PARA SISTEMAS DE,PRESION O HIDRONEUMATICOS
MAB,MARTILLO DE BOLA," "
MAC,MANGUERA O TUBO ANILLADO,PERFORADO PARA DRENAJE
MAD,MANDRIL PARA TALADRO," "
MAE,MANGUERA O TUBO ANILLADO,FLEXIBLE ELECTRICO
MAF,MARTILLO PICASAL," "
MAG,MANGO ARTICULADO PARA DADOS," "
MAH,MANGO BERBIQUI PARA DADOS," "
MAI,MASCARILLAS INDUSTRIALES PARA,TRABAJO PESADO
MAL,MANGUERA ANILLADA PARA,LIMPIEZA DE PISCINA
MAN,MANOMETRO PARA LLANTAS," "
MAP,MASCARILLAS DE TELA," "
MAQ,MASCARILLAS QUIRURJICAS," "
MAT,HERRAMIENTA MULTIPLE MATRIX," "
MAU,MARTILLO DE UNA," "
MAV,MARTILLO VIDRIERO," "
MAZ,MAZO DE GOMA," "
MBD,TENSOR O PRENSA DE BANDA,BAILEY
MBS,MOTOR SELLADO O SUMERGIBLE," "
MBX,MANGUERA O FUNDA BX,ELECTRICA
MC4,CONECTOR MC4 PARA CABLE SOLAR," "
MCA,MODULO DE CAMARA PARA SISTEMA,DE VIDEOPORTERO
MCC,MANOMETRO COMPRESION MOTORES," "
MCD,MARCADOR INDUSTRIAL," "
MCE,MONTACARGAS ELECTRICO," "
MCG,MANGO PARA CARGAR PLANCHAS DE,GYPSUM O FIBROCEMENTO
MCH,PRENSADORA O PONCHADORA,PARA TERMINALES DE CABLE
MCL,M-CLAMP ABRAZADERA GRAPA MEDIA,SUJETADOR DE PANEL SOLAR
MCM,MONTACARGAS APLIADOR MANUAL O,ELECTRICO
MCP,MARCO PARA CAJA DE PISO," "
MCT,MACETA O MACETERO," "
MDA,LLAVE MEZCLADORA MONOCOMANDO,PARA DUCHA
MDB,LLAVE MEZCLADORA MONOCOMANDO,PARA DUCHA CON BOTON
MDC,MOTOR A DIESEL PARA CAMION," "
MDM,MANGUERA PARA DUCHA MANUAL O,TELEFONO
MDP,MEDIDOR DE PINTURA," "
MDS,MANGUERA DE SUCCION ANILLADA,FLEXIBLE
MEB,MOTOR ELECTRICO PARA BICICLETA,TIPO RADIAL
MET,MESA DE TRABAJO," "
MEZ,MEZCLADORA DE CONCRETO," "
MFS,MANGUERA O FUNDA SELLADA,ELECTRICA
MHD,MULTIHERRAMIENTA TIPO DREMEL," "
MHL,MOCHILA PARA HERRAMIENTAS Y,LAPTOP
MHT,MACHETE," "
MIC,MICRO ASPERSOR," "
MIP,MIRILLA PARA PUERTA," "
MMA,MANGO DE MADERA PARA HERRAMIEN," "
MMC,LLAVE MEZCLADORA MONOCOMANDO,PARA MESON DE COCINA
MNJ,MANIJA PARA MONOCOMANDO O,LLAVE
MNP,MINIPOSTE O ILUMINACION,ORNAMENTAL
MOA,MORTERO EPOXICO PARA ANCLAJE,QUIMICO
MOB,MOTOR DE EJE PARA BOMBA DE,AGUA
MOC,MOCHILAS," "
MOE,MOTOR ESTACIONARIO ELECTRICO," "
MOG,MOTOR ESTACIONARIO A GASOLINA," "
MOS,MOSQUETON DE ALPINISTA O,BOMBERO
MPC,MANGAS DE PROTECCION DE CUERO,PARA SOLDADOR
MPD,MOUSEPAD," "
MPH,MOLDE PARA HORNEAR," "
MPJ,MANGUERA FLEXIBLE PARA JARDIN," "
MPP,MOLDE O ASADERA PARA PIZZA," "
MPS,MASCARA O CARETA PARA SOLDAR," "
MPT,MEMBRANA O BLERIS PARA TANQUE,DE PRESION
MQA,MANGUERA PLANA DE CAUCHO CON,RECUBRIMIENTO TEXTIL INCENDIOS
MQB,MANGUERA PLANA PARA DESCARGA," "
MQC,MANGUERAS PARA SISTEMAS,PNEUMATICAS Y DE AIRE
MRD,MARTILLO DEMOLEDOR," "
MRF,MALLA DE SEGURIDAD PARA OBRA,Y CARRETERAS MULTIMATERIAL
MRP,ROMPEPAVIMENTO O MARTILLO,DEMOLEDOR VERTICAL
MT1,MOTOR PARA PUERTA DE GARAJE,LEVADIZAS
MT2,MOTOR DE PUERTA DE GARAJE,CORREDIZA
MT3,MOTOR PARA PUERTA DE GARAJE,ABATIBLE
MT4,MOTOR PARA PUERTA ENRROLLABLE,AUTOCOMPENSADA
